客戶ID,Gender,Age,Zipcode,Area
3596,男,37,247,北區
1729,女,29,112,北區
2036,男,30,237,北區
1686,男,34,234,北區
5943,女,48,802,南區
5468,男,40,514,中區
3855,男,55,110,北區
2224,女,45,200,北區
4608,女,29,220,北區
2501,男,38,300,北區
3127,女,42,106,北區
2713,男,31,909,南區
7778,女,36,243,北區
3675,女,38,732,南區
4842,男,31,111,北區
2122,男,44,330,北區
2942,女,51,116,北區
2205,男,60,220,北區
5959,男,36,110,北區
3330,男,44,813,南區
7876,男,56,302,北區
3065,女,23,716,南區
4163,男,37,891,外島地區
4854,女,50,248,北區
7605,女,35,421,中區
6619,男,67,108,北區
7853,男,40,106,北區
3873,男,41,110,北區
4866,男,47,320,北區
6524,女,33,308,北區
1446,女,48,242,北區
6587,女,47,334,北區
637,女,46,408,中區
5521,男,55,300,北區
7892,女,36,802,南區
6736,女,25,600,南區
4967,男,50,412,中區
4389,女,108,813,南區
5181,女,34,545,中區
3567,女,39,241,北區
4780,男,56,710,南區
3059,女,31,235,北區
655,男,37,238,北區
3868,男,57,235,北區
2800,女,39,300,北區
7854,男,25,701,南區
449,男,40,330,北區
4876,女,31,613,南區
742,男,35,237,北區
1286,男,38,112,北區
2704,男,42,324,北區
4981,男,37,320,北區
5577,男,26,402,中區
8059,男,50,429,中區
3438,女,43,270,東區
7292,女,51,946,南區
1679,男,40,220,北區
284,女,27,973,東區
6000,女,38,110,北區
921,女,33,911,南區
1121,男,39,251,北區
1672,男,35,268,東區
1479,女,34,806,南區
1246,男,57,200,北區
1276,女,34,330,北區
6078,女,42,434,中區
6828,男,32,730,南區
2778,男,36,510,中區
4011,男,49,105,北區
4687,男,28,220,北區
915,女,53,244,北區
7582,男,81,437,中區
7450,男,55,412,中區
6631,男,48,825,南區
5918,女,49,407,中區
5697,女,47,638,中區
646,男,50,421,中區
1041,男,31,811,南區
5455,男,61,710,南區
805,女,37,803,南區
6716,男,32,807,南區
2989,男,27,710,南區
4575,男,57,402,中區
7076,女,21,514,中區
4834,男,96,702,南區
1726,女,67,220,北區
6449,女,40,811,南區
2300,男,40,247,北區
3624,女,54,114,北區
5781,女,43,813,南區
1096,男,28,710,南區
1930,男,36,542,中區
3794,男,32,244,北區
1006,女,49,333,北區
1944,男,39,234,北區
2747,男,59,710,南區
2549,男,29,251,北區
1982,女,39,235,北區
1677,男,35,241,北區
7271,女,50,825,南區
6014,女,55,436,中區
7200,男,32,600,南區
332,男,29,542,中區
3482,男,34,251,北區
6189,男,31,242,北區
6378,男,56,204,北區
8006,女,51,423,中區
7005,男,55,220,北區
4515,男,46,710,南區
4745,男,96,500,中區
2377,男,31,726,南區
7042,女,35,220,北區
2030,男,40,732,南區
4785,男,53,251,北區
5351,女,38,326,北區
3429,男,34,406,中區
3827,男,54,234,北區
338,男,58,925,南區
7665,女,31,411,中區
2843,男,58,243,北區
7794,女,24,241,北區
8192,女,38,407,中區
6680,女,27,302,北區
5899,男,53,106,北區
5764,男,33,116,北區
2956,女,37,310,北區
2393,女,42,414,中區
3133,男,39,830,南區
7724,男,86,234,北區
527,男,56,104,北區
5690,女,26,241,北區
4825,男,54,802,南區
3212,女,32,700,南區
977,女,43,231,北區
6820,男,39,300,北區
3785,男,40,337,北區
62,女,35,235,北區
4926,男,55,804,南區
3610,男,36,508,中區
3508,男,39,801,南區
6822,男,1,114,北區
820,男,39,243,北區
8141,女,38,702,南區
7343,女,45,437,中區
1464,男,48,718,南區
7540,女,29,106,北區
6971,男,28,235,北區
7735,男,68,103,北區
2307,男,39,362,北區
3558,男,43,813,南區
6942,男,38,833,南區
5005,女,42,326,北區
1335,男,29,231,北區
87,女,55,106,北區
198,男,27,832,南區
139,男,57,114,北區
3437,女,46,300,北區
539,男,41,420,中區
8202,男,64,807,南區
3233,女,48,807,南區
5705,女,40,108,北區
2787,男,38,811,南區
2220,女,43,404,中區
2239,男,50,270,東區
3529,女,43,646,中區
5649,男,41,900,南區
5348,男,47,268,東區
923,男,47,300,北區
6134,男,44,350,北區
2814,男,42,337,北區
542,女,35,414,中區
4749,男,50,600,南區
5096,男,34,427,中區
2194,男,46,436,中區
7315,男,60,406,中區
1118,女,53,928,南區
92,男,58,224,北區
7276,男,37,300,北區
5437,男,33,950,東區
3056,男,49,247,北區
6922,男,59,236,北區
1500,女,34,408,中區
450,男,34,112,北區
6561,男,56,204,北區
1117,男,30,242,北區
4436,男,33,334,北區
748,女,41,310,北區
7923,女,33,237,北區
4126,女,19,726,南區
6813,女,29,104,北區
287,女,43,269,東區
7357,男,57,427,中區
7563,男,28,403,中區
2995,男,47,247,北區
5239,女,31,500,中區
6966,男,52,110,北區
6997,男,38,600,南區
3292,女,39,220,北區
4922,男,44,526,中區
5051,女,35,325,北區
